지역,업소명,사업자명(대표자),소재지,총면적(제곱미터) ,홀수(홀),세부종류
경기,렉스필드, (주)렉스필드 컨트리클럽(남기성),여주시 산북면 광여로 1115(산북면 상품리 산108),855727,18,회원제
경기,렉스필드, (주)렉스필드 컨트리클럽(남기성),여주시 산북면 광여로 1115(산북면 상품리 산108),495762,9,대중제
경기,블루헤런,블루헤런㈜(권오삼),여주시 대신면 고달사로 67(대신면 상구리 산11-1),1081010,18,회원제
경기,신라,㈜케이엠에이치신라레저(박형식),여주시 북내면 신라그린길 84(북내면 덕산리 산3-1),1771550,27,대중제
경기,스카이밸리,힐드로사이㈜(이재원),여주시 북내면 운촌길 254(북내면 운촌리 산40),1048693,18,회원제
경기,스카이밸리,힐드로사이㈜(이재원),여주시 북내면 운촌길 254(북내면 운촌리 산40),911079,18,대중제
경기,캐슬파인, (주)캐슬파인 리조트(정귀수),여주시 강천면 부평로 580(강천면 부평리 산47-1),1057645,18,대중제
경기,해슬리나인브릿지, CJ대한통운㈜(강신호),여주시 명품1로 76(여주읍 연라리 산67-1 일원),1147780,18,회원제
경기,세라지오GC,주식회사 신한은행(문태식),여주시 여양로 530(북내면 신남리 산30-2),993332,18,대중제
경기,360도, 제이타우젠트㈜(김태호),여주시 강천면 부평로 609( 강천면 부평리 산59-3 일원),818914,18,대중제
경기,여주썬밸리,동광레저㈜(이창기),여주시 강천면 강문로 872(강천면 부평리 산109-1 일원 ),483956,9,대중제
경기,페럼,㈜페럼인프라(고문성),여주시 점동면 점동로 181(점동면 사곡리 산16-10),1164205,18,대중제
경기,ROUTE 52CC,케이알레저주식회사(유용승),여주시 북내면 중암1길 36,981310,18,대중제
경기,티클라우드 컨트리클럽,㈜제이레저(정길연),동두천시 평화로 3202 (하봉암동),1258590,18,회원제
경기,썬힐G.C,(주)다함레져 (안응수),가평군 조종면 운악청계로589번길 73,636434,18,회원제
경기,썬힐대중G.C,(주)다함레져 (안응수),가평군 조종면 운악청계로589번길 73,755324,18,대중제
경기,청평마이다스G.C,(주)대교디앤에스   (최득희),가평군 설악면 다락재로 73-111,1078729,18,회원제
경기,프리스틴밸리    G.C,"(주)평산투자개발   (박정호, 박치웅)",가평군 설악면 유명산로 1234-199,1156465,18,회원제
경기,아난티클럽    서울,아난티클럽서울(주) (이만규),가평군 설악면 유명산로961-34,1744453,27,회원제
경기,베네스트G.C,삼성물산㈜ (정금용),가평군 상면 둔덕말길 232,1707465,27,회원제
